手动支付耗时,手动支付时间,订单响应耗时,请求受理平均延迟,支付秒数,累加
800, 1.986, 507, 264, 4
900, 1.915, 658, 278, 4
950, 1.865, 572, 278, 4
1000, 1.833, 598, 233, 4
1000, 1.836, 520, 233, 4
1000, 1.847, 561, 264, 3
1050, 1.819, 588, 219, 4, 2038
1100, 1.754, 712, 219, 4, 1973*
1100, 1.770, 541, 213, 3, 1983

2000, 0.861, 598, 196, 3, 1057
2050, 0.855, 600, 118, 3, 973*
2050, 0.800, 574, 169, 3, 969 
2050, 0.793, 562, 187, 3, 980
2050, 0.964, 618, 4, 3, 968
2050, 0.822, 517, 147, 2, 969
2100, 0.842, 598, 82, 3, 924
2100, 0.841, 631, 85, 2, 926
2100, 0.734, 711, 180, 2, 914
2200, 0.659, 583, 153, 2, 812
